iter	RMSE
125	0.3219836937
126	0.3215108351
127	0.3203568509
128	0.3192657197
129	0.318116259
130	0.3176207844
131	0.3171919013
132	0.3157645077
133	0.3142881158
134	0.3135853711
135	0.3129057504
136	0.3118098273
137	0.3106082645
138	0.3101379017
139	0.3096431567
140	0.3089603655
141	0.3078115638
142	0.3066660612
143	0.3057702801
144	0.3048384931
145	0.30417604
146	0.3032664982
147	0.302194573
148	0.3017594772
149	0.3011800037
150	0.3005537176
151	0.2998479427
152	0.2992874083
153	0.2981239055
154	0.2969791409
155	0.2960199575
156	0.2957095749
157	0.2945618203
158	0.2938764756
159	0.2929536243
160	0.2918168503
161	0.2909622959
162	0.289892663
163	0.2891481722
164	0.2883739424
165	0.2869408668
166	0.2860473966
167	0.2847720636
168	0.2839896532
169	0.2831077416
170	0.2829188524
171	0.2817889567
172	0.2812906022
173	0.2803813189
174	0.278983695
175	0.2785770217
176	0.2781549403
177	0.2779130732
178	0.277581684
179	0.2767871139
180	0.2755662986
181	0.2747994805
182	0.2744061783
183	0.2737663638
184	0.273487395
185	0.2727586607
186	0.2721634245
187	0.2717386823
188	0.2713499181
189	0.2704873113
190	0.2694662688
191	0.2691582026
192	0.268601236
193	0.2681258155
194	0.2671954972
195	0.2667002805
196	0.2658116437
197	0.2650748894
198	0.2644073377
199	0.2642321369
200	0.2637770969
201	0.2630183768
202	0.2619615549
203	0.261217981
204	0.2603883824
205	0.2596822241
206	0.2591950863
207	0.2590052441
208	0.2582752489
209	0.2570366117
210	0.2563799067
211	0.2559605262
212	0.2552471266
213	0.2544068901
214	0.2540902595
215	0.2529598551
216	0.252026973
217	0.2506330196
218	0.250370822
219	0.2497086331
220	0.2490951665
221	0.2484707901
222	0.2478614715
223	0.2477250652
224	0.2469665408
225	0.2468230607
226	0.2459170749
227	0.2446466175
228	0.2443577966
229	0.2441695057
230	0.2430683902
231	0.2429376686
232	0.2419477085
233	0.2411848128
234	0.2405451717
235	0.2390020399
236	0.2388820845
237	0.238397912
238	0.2377782152
239	0.236793204
240	0.2364254552
241	0.2351523071
242	0.2350205002
243	0.234250498
244	0.2340724444
245	0.2335646797
246	0.2334475347
247	0.2328261792
248	0.2326975192
249	0.2325489814
250	0.2317439749
251	0.2314818089
252	0.2304433392
253	0.2297013865
254	0.2295227889
255	0.2288675562
256	0.228087765
257	0.2279806909
258	0.227871308
259	0.2269110011
260	0.2258662037
261	0.224976995
262	0.2247464617
263	0.2242171501
264	0.2233871859
265	0.2223513991
266	0.2214338535
267	0.220734046
268	0.2206062763
269	0.2196980698
270	0.2187163809
271	0.217665792
272	0.2166186267
273	0.216251348
274	0.2153408038
275	0.2145222794
276	0.2140260962
277	0.2134293904
278	0.2129123088
279	0.212035535
280	0.2113280035
281	0.2112326707
282	0.2102959873
283	0.2101866091
284	0.2093989296
285	0.2084763207
286	0.2078014989
287	0.2071935543
288	0.2065555143
289	0.2064634471
290	0.2055862565
291	0.2049732636
292	0.2047773788
293	0.2042977564
294	0.2036398762
295	0.2031413354
296	0.2025158422
297	0.2022490054
298	0.2013993932
299	0.2013002473
300	0.2011480948
301	0.2010487902
302	0.2004386226
303	0.1992821524
304	0.1986845632
305	0.1979946625
306	0.1973538071
307	0.196629774
308	0.1964343942
309	0.1963013598
310	0.1956532607
311	0.1950816653
312	0.1945833837
313	0.1939121754
314	0.1931109743
315	0.1926472804
316	0.1919275668
317	0.1913229026
318	0.1909213955
319	0.1901247779
320	0.1895454458
321	0.1885541121
322	0.188023581
323	0.1875283986
324	0.187064044
325	0.1863861069
326	0.1856500357
327	0.1853787639
328	0.1849806253
329	0.1848326871
330	0.1840172303
331	0.1835887976
332	0.182955842
333	0.1827464228
334	0.1817695597
335	0.1813123984
336	0.1810113975
337	0.1804644041
338	0.1800317353
339	0.1799349723
340	0.1790727268
341	0.178178764
342	0.1776846711
343	0.1771906062
344	0.177015538
345	0.1763130516
346	0.176045546
347	0.1753009232
348	0.1749690418
349	0.174096124
350	0.1733783631
351	0.1728737161
352	0.1723093445
353	0.171855826
354	0.171112309
355	0.1708179237
356	0.1702328807
357	0.1698280612
358	0.1695159963
359	0.1691202587
360	0.1685855394
361	0.1682870512
362	0.1677718344
363	0.167124266
364	0.1670285685
365	0.1665683668
366	0.1659813089
367	0.1652395138
368	0.164581427
369	0.1641055303
370	0.1636540785
371	0.1632141912
372	0.1629568572
373	0.1626807585
374	0.1622802428
375	0.1617124175
376	0.1610433706
377	0.1605759525
378	0.1602122412
379	0.1598857132
380	0.1592470643
381	0.1587912596
382	0.1581594954
383	0.1577374809
384	0.1576363846
385	0.1571641239
386	0.1567218579
387	0.1560793875
388	0.1555675399
389	0.1551218402
390	0.1550299698
391	0.1544399092
392	0.154348559
393	0.1539175793
394	0.1536241604
395	0.1531133822
396	0.1523663374
397	0.1522792897
398	0.1520308283
399	0.151337991
400	0.1510442875
401	0.1507174627
402	0.1503260666
403	0.1496585818
404	0.1489906709
405	0.1486253529
406	0.1483491442
407	0.1479374408
408	0.1476437518
409	0.1475716193
410	0.1469173789
411	0.1468301834
412	0.1466772132
413	0.1463137638
414	0.1458927554
415	0.1453716078
416	0.1449216906
417	0.1448333485
418	0.1442481231
419	0.1438836051
420	0.1432696839
421	0.1427490919
422	0.1421592703
423	0.1420825198
424	0.1416855049
425	0.1410739353
426	0.1407089591
427	0.140263126
428	0.139859706
429	0.1397423109
430	0.139228776
431	0.1389801684
432	0.1386230739
433	0.1381097778
434	0.1380385021
435	0.1377700323
436	0.1371537025
437	0.1366439016
438	0.1362218901
439	0.1359156256
440	0.1355660653
441	0.1353930086
442	0.1348570978
443	0.1343821003
444	0.133859757
445	0.1335194523
446	0.1329926481
447	0.1325022678
448	0.1322343073
449	0.1317780482
450	0.131590323
451	0.1311883644
452	0.1307137674
453	0.1301965288
454	0.1298205707
455	0.1294823758
456	0.1290909834
457	0.128903817
458	0.1285679367
459	0.128457385
460	0.1282794837
461	0.1280365445
462	0.1279839672
463	0.1276941111
464	0.1273866884
465	0.1269526327
466	0.1266387811
467	0.1262402721
468	0.1258162703
469	0.1255381427
470	0.1251420932
471	0.1247768476
472	0.1242579266
473	0.1240035443
474	0.123683732
475	0.1232866766
476	0.1231060444
477	0.1226432174
478	0.1223618812
479	0.1220013296
480	0.1216620344
481	0.1213677394
482	0.1209888983
483	0.1202456785
484	0.1198553186
485	0.1193778416
486	0.1190426046
487	0.1189445405
488	0.1184575316
489	0.1183896175
490	0.118105673
491	0.1178422718
492	0.1175747613
493	0.1171094958
494	0.1169621569
495	0.1166263082
496	0.1163580433
497	0.1160263818
498	0.1156090296
499	0.1152929228
500	0.1150328525
501	0.1146655222
502	0.1143233239
503	0.1138647903
504	0.1135567939
505	0.1131798564
506	0.1128185824
507	0.112466243
508	0.1119880536
509	0.1117602447
510	0.1115095463
511	0.1112106598
512	0.1111487909
513	0.1108997981
514	0.1105123872
515	0.1102244132
516	0.1099628882
517	0.1096680944
518	0.1094203137
519	0.1093165318
520	0.1092627201
521	0.108846981
522	0.1084552121
523	0.1081093017
524	0.1078132782
525	0.1075945355
526	0.1072133682
527	0.1068757055
528	0.1066777408
529	0.1064039462
530	0.1062415934
531	0.1060637476
532	0.105819273
533	0.1055746777
534	0.1052279723
535	0.1049508002
536	0.1045633923
537	0.1043628133
538	0.1039830372
539	0.1036452087
540	0.1034740146
541	0.1032971449
542	0.1028774911
543	0.1027212315
544	0.1025688056
545	0.102299061
546	0.1019556734
547	0.1017465737
548	0.1015841627
549	0.1015434691
550	0.1013495711
551	0.1010040202
552	0.1006005157
553	0.1005530221
554	0.1002961775
555	0.09988032116
556	0.09966522984
557	0.09947014369
558	0.09935882523
559	0.09921239236
560	0.09917797082
561	0.09889159213
562	0.09862191464
563	0.09858130856
564	0.0984099562
565	0.09802200918
566	0.09758216875
567	0.09736141925
568	0.09718267522
569	0.09685273927
570	0.09651204043
571	0.09635358349
572	0.09616216775
573	0.09597541882
574	0.09565080851
575	0.09531110772
576	0.09524663863
577	0.09500574632
578	0.09474092553
579	0.0944295417
580	0.09412603921
581	0.09388797063
582	0.09357805004
583	0.09335094098
584	0.09303770551
585	0.09277291406
586	0.09249805934
587	0.09245940219
588	0.09218953768
589	0.09212740561
590	0.09198362736
591	0.09164623044
592	0.09139757001
593	0.09111725642
594	0.09081694961
595	0.09067804741
596	0.0904158042
597	0.09018999088
598	0.08999291147
599	0.08981455056
600	0.08950088026
601	0.08938513546
602	0.08935789894
603	0.08914236318
604	0.08910594613
605	0.0888132942
606	0.08857052684
607	0.08832876569
608	0.08814276357
609	0.08784021581
610	0.08771828942
611	0.08758955736
612	0.08731208477
613	0.08708305307
614	0.0868651203
615	0.08675179411
616	0.08654082143
617	0.08635197369
618	0.08609184587
619	0.08592449542
620	0.08563385645
621	0.0854375769
622	0.0852754237
623	0.08498674632
624	0.08495026807
625	0.08452973475
626	0.08432776106
627	0.08405668486
628	0.08386140792
629	0.08373821495
630	0.08357624445
631	0.08338738122
632	0.08316768426
633	0.08271547655
634	0.08241630528
635	0.08228493943
636	0.0821116271
637	0.08198092836
638	0.08179094164
639	0.08175713644
640	0.08165610913
641	0.08162437664
642	0.08141699861
643	0.08128210342
644	0.0811589789
645	0.08093293134
646	0.08090581394
647	0.08074558119
648	0.08045060348
649	0.08029300344
650	0.08016974087
651	0.08007504329
652	0.0799483547
653	0.07977019317
654	0.0795326666
655	0.07940411441
656	0.07928889595
657	0.0790672531
658	0.07903536578
659	0.07883407008
660	0.07865507066
661	0.07853589362
662	0.07836912825
663	0.07806845098
664	0.07775966436
665	0.0775438922
666	0.07739651278
667	0.07718384371
668	0.07684336941
669	0.07672993071
670	0.07661946351
671	0.07643064435
672	0.07622988391
673	0.07609363759
674	0.07589023484
675	0.07571211015
676	0.07557678038
677	0.07545474476
678	0.07536125874
679	0.07523641332
680	0.07512969233
681	0.07499709473
682	0.07497139698
683	0.07481035974
684	0.07455215708
685	0.07435907907
686	0.0741799866
687	0.07395244787
688	0.07382624599
689	0.07371513428
690	0.07350552134
691	0.07345071282
692	0.07333906996
693	0.07315628786
694	0.07304010689
695	0.0728766025
696	0.0726723752
697	0.0725107465
698	0.072290108
699	0.07200945003
700	0.07188375627
701	0.0717347713
702	0.0715834186
703	0.07141922381
704	0.0712479695
705	0.0710909154
706	0.07088620202
707	0.07078095069
708	0.07069734252
709	0.07060985441
710	0.07046419547
711	0.07042251892
712	0.07039587559
713	0.07021511755
714	0.07013330453
715	0.06987312206
716	0.06979665642
717	0.06967949099
718	0.06964914864
719	0.06948362419
720	0.06945593445
721	0.06933928519
722	0.06922673773
723	0.06915467556
724	0.06909301907
725	0.06893103866
726	0.06880138079
727	0.06860549568
728	0.06847632213
729	0.068304809
730	0.06817752638
731	0.06796217332
732	0.0678422283
733	0.06772366525
734	0.06752396819
735	0.06744103603
736	0.0671996243
737	0.06711673295
738	0.06699486941
739	0.06681486442
740	0.06653422426
741	0.06639087348
742	0.06623408274
743	0.06618035243
744	0.06612829242
745	0.06605899384
746	0.06595444638
747	0.06590190783
748	0.06572627837
749	0.06552543488
750	0.06539724716
751	0.06521551982
752	0.06497435672
753	0.06492458458
754	0.06473164639
755	0.0646185775
756	0.06444978665
757	0.06422488125
758	0.0641253514
759	0.06400057176
760	0.06394699943
761	0.06378209858
762	0.06365866827
763	0.06346111274
764	0.06322973477
765	0.0631782959
766	0.0631019792
767	0.06298217093
768	0.06280145779
769	0.06266142814
770	0.06257596384
771	0.06245562031
772	0.06217199149
773	0.06204098407
774	0.06189247053
775	0.06178983395
776	0.06174044208
777	0.06161718378
778	0.06156650348
779	0.06152434531
780	0.06144164711
781	0.0613893062
782	0.06114987281
783	0.06097029549
784	0.06087964265
785	0.06069848424
786	0.06059745876
787	0.06048117453
788	0.06026217251
789	0.06007513493
790	0.05991339815
791	0.05971613307
792	0.05960810787
793	0.05943676636
794	0.05928400407
795	0.05911997064
796	0.05900796377
797	0.05886381676
798	0.05865217186
799	0.05863422634
800	0.0584759041
801	0.05832339842
802	0.05820352194
803	0.05803858965
804	0.05797483944
805	0.05788272022
806	0.05786400747
807	0.05772314058
808	0.05765429707
809	0.05747339861
810	0.05734822507
811	0.05717984098
812	0.05710042739
813	0.05702152166
814	0.05684425976
815	0.05667754644
816	0.05651558032
817	0.0564194181
818	0.0563301953
819	0.0562085276
820	0.05605441479
821	0.05602888106
822	0.05586874883
823	0.05572477989
824	0.05563284003
825	0.055464833
826	0.05539645026
827	0.05527209563
828	0.05507682923
829	0.05488240715
830	0.05481552426
831	0.05468747566
832	0.05454710923
833	0.0543795033
834	0.05427650347
835	0.05413127285
836	0.0540235116
837	0.05397379615
838	0.05381999129
839	0.05369557922
840	0.05362640059
841	0.05353997022
842	0.05351459856
843	0.05341297082
844	0.05338371156
845	0.0533151873
846	0.0531383725
847	0.05307053488
848	0.05289785746
849	0.05287378693
850	0.0527617127
851	0.0526547479
852	0.05261822004
853	0.05249532602
854	0.05234867856
855	0.05233151582
856	0.05224918289
857	0.05212727397
858	0.05205911878
859	0.05204533928
860	0.05189639188
861	0.05182393991
862	0.05164548329
863	0.0514922561
864	0.05129901932
865	0.051259162
866	0.0511713933
867	0.05105825521
868	0.05088368052
869	0.05086966739
870	0.05079880512
871	0.05065335257
872	0.05061576743
873	0.05050138943
874	0.05036895169
875	0.05023468362
876	0.05017341943
877	0.05004659071
878	0.04990860882
879	0.04978586229
880	0.04966301331
881	0.04959966383
882	0.04958338358
883	0.04952884951
884	0.04949254931
885	0.04947868182
886	0.04943690304
887	0.04935342456
888	0.04927178947
889	0.0492188059
890	0.04912415118
891	0.04897990683
892	0.04889300646
893	0.04879794232
894	0.04863358103
895	0.04845719236
896	0.04826041522
897	0.04809970492
898	0.04804328322
899	0.04791728591
900	0.04778032268
901	0.04770815424
902	0.04759169498
903	0.0474459302
904	0.04732830358
905	0.04721488569
906	0.04709930932
907	0.04700301308
908	0.04689470498
909	0.04675274881
910	0.04663161449
911	0.04647963496
912	0.04631817289
913	0.04621760198
914	0.04608272218
915	0.04597379231
916	0.04592834828
917	0.04578110865
918	0.04568811887
919	0.04563186219
920	0.04554169856
921	0.04543433686
922	0.04537786108
923	0.04532425179
924	0.04525436112
925	0.04519699142
926	0.04506934749
927	0.04493354569
928	0.04476001014
929	0.04460183953
930	0.04449027939
931	0.04447931927
932	0.04440178178
933	0.04430977528
934	0.04424662683
935	0.04414585997
936	0.04408778382
937	0.04392714271
938	0.0438635579
939	0.04374186589
940	0.04371087106
941	0.04359013315
942	0.04356669769
943	0.04345946035
944	0.04333016907
945	0.04325455059
946	0.04320356179
947	0.04315136816
948	0.04311887209
949	0.04310558797
950	0.04308075962
951	0.04307089641
952	0.04297689056
953	0.04291573777
954	0.04286540707
955	0.0428144806
956	0.04264659183
957	0.04246292339
958	0.04235642988
959	0.04230207789
960	0.04218198759
961	0.04205003668
962	0.04199006319
963	0.04196072766
964	0.04191404094
965	0.04185245292
966	0.04170793444
967	0.04164861535
968	0.041636349
969	0.04150838901
970	0.04144085498
971	0.04130111151
972	0.04122805568
973	0.04115070685
974	0.0410848173
975	0.04103924585
976	0.04097412742
977	0.04090724135
978	0.04089251346
979	0.04083177046
980	0.04069495939
981	0.04056692212
982	0.04050586801
983	0.04043832817
984	0.04041417647
985	0.04033079936
986	0.04024388029
987	0.04011043403
988	0.04006731401
989	0.04000308602
990	0.03992837033
991	0.03980359973
992	0.03964454075
993	0.0395590375
994	0.03944410308
995	0.03937984049
996	0.03927867122
997	0.03916653383
998	0.03909373509
999	0.03900563503
